file_name,movie_name,audience_rating,rating_key,year
G:\movies\Thor Love and Thunder (2022)\Thor Love and Thunder 2022 BluRay 1080p REMUX AVC DTS-HD MA 7.1-LEGi0N.mkv,Thor: Love and Thunder,6.3,136909,2022
G:\Sonarr\Thor.The.Dark.World.2013.1080p.BluRay.x264-SPARKS\thor.the.dark.world.2013.1080p.bluray.x264-sparks.mkv,Thor: The Dark World,6.8,134576,2013
G:\movies\Those Who Wish Me Dead (2021)\Those.Who.Wish.Me.Dead.2021.1080p.HMAX.WEB-DL.DD5.1.x264-EVO.mkv,Those Who Wish Me Dead,6.0,129518,2021
F:\Movies\A.Thousand.and.One.2023.1080p.WEBRip.x264-LAMA\A.Thousand.and.One.2023.1080p.WEBRip.x264-LAMA.mp4,A Thousand and One,7.4,149153,2023
F:\Movies\Three Thousand Years of Longing (2022) (1080p AMZN Webrip x265 10bit EAC3 5.1 - JBENT)[TAoE].mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.Bluray.Atmos.TrueHD.7.1.x264-EVO\Three.Thousand.Years.of.Longing.2022.1080p.Bluray.Atmos.TrueHD.7.1.x264-EVO.mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.BRRip.DD5.1.X.264-EVO\Three.Thousand.Years.of.Longing.2022.1080p.BRRip.DD5.1.X.264-EVO.mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.REMUX.AVC.Atmos-PiRaTeS.mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.x264-ROEN\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.x264-ROEN.mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.x264-OFT\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.x264-OFT.mkv,Three Thousand Years of Longing,6.7,137043,2022
